,srcid,field,root,root-1,sigma,fwhm_snr,PBroad,PCauchy,REH,AdG,JEG,Old Comments,New Comments,final
406,28560,EGS,rubies-egs51-nod-v3,None,1.193098692859348,2.511460783162662,0.7671692766067904,2.2112279643727562e-17,,,,,,
407,23749,UDS,rubies-uds42-nod-v3,None,1.1876857070977118,1.5950242493544686,0.765042743085863,6.746205525771018e-117,,,,,,
408,48412,EGS,rubies-egs62-v4,None,1.1867944520039373,4.236779206462969,0.7646912922455207,2.538290064248478e-05,0.0,0.0,0.0,beautiful rotation curves,,
409,27263,EGS,rubies-egs52-nod-v3,None,1.1797632892789767,2.6948270966710224,0.7619056258761275,7.0833128668221414e-09,,,,,,
410,153630,UDS,rubies-uds32-nod-v3,None,1.1759816117982802,0.9180484924666809,0.7603977758499959,2.532456389334754e-97,,,,,,
411,128443,UDS,rubies-uds32-v4,None,1.1745889778428964,1.9842116692241447,0.7598408049017643,1.1233996729655525e-05,0.0,1.0,0.0,revisit AdG: check v4!,,
412,136342,UDS,rubies-uds32-nod-v3,None,1.1735900450914074,2.520308639466698,0.75944072950023,1.9220689015208344e-51,1.0,,,,,
413,140143,UDS,rubies-uds22-nod-v3,None,1.1725924478198588,2.493521593722734,0.7590407206045566,2.5657112126977295e-63,,,,,,
414,45405,EGS,rubies-egs62-nod-v3,None,1.1599349846244777,3.1995996329183662,0.7539247223586207,4.014074063647854e-32,1.0,1.0,,don't trust SNR,,N
415,46815,EGS,rubies-egs61-nod-v3,rubies-egs52-nod-v3,1.1524195052999784,1.6673712701772183,0.7508512704426937,8.952823079236215e-103,,,,,,
416,43893,EGS,rubies-egs62-nod-v3,None,1.1456815657671973,2.7957473648695856,0.7480730659376159,2.958727189707141e-09,1.0,1.0,,,,
417,173360,UDS,rubies-uds21-v4,None,1.142226872564636,3.7710749880656445,0.7466402713013338,0.47330566710090516,,,,,,
418,13561,UDS,rubies-uds43-nod-v3,None,1.1307350660905633,3.5325061157773576,0.741833382500382,0.34597717608701184,,,,,,
419,17923,UDS,rubies-uds41-v4,None,1.1306802279970591,2.648579177258634,0.7418102937882631,0.5688806321776205,,,,,,
420,54607,UDS,rubies-uds3-nod-v3,None,1.1275131711530513,2.0821830585275025,0.7404744250773967,5.35361594476909e-07,,,,,,
421,17485,UDS,rubies-uds1-nod-v3,None,1.122580383787964,1.9387223451823934,0.7383842496317167,1.0204750348347453e-44,,,,,,
422,44442,UDS,rubies-uds43-nod-v3,None,1.1195834312196764,1.3096729938785503,0.7371086805933914,6.242943938344427e-13,,,,,,
423,27227,UDS,rubies-uds33-nod-v3,None,1.1065933436462276,2.065929253029443,0.7315302135200695,2.1119952594629818e-86,,,,,,
424,22896,UDS,rubies-uds43-nod-v3,None,1.101774808561615,2.7312689038201587,0.7294404151660544,0.023105391284536366,,,,,,
425,114988,UDS,rubies-uds22-nod-v3,None,1.1017098006331176,2.2573063441145735,0.729412145203875,0.0012807173968814778,,,,,,
426,66635,EGS,rubies-egs62-nod-v3,None,1.0997000516809061,2.587336554973796,0.7285371677582645,0.7818313616080267,,,,,,
427,19245,UDS,rubies-uds41-nod-v3,None,1.0978171984829714,1.5312289641994994,0.7277156800427039,5.543160779562242e-269,,,,,,
428,49926,UDS,rubies-uds1-nod-v3,None,1.0949146868798432,2.408925047928188,0.7264459859363156,2.930270719046385e-39,0.0,,0.0,Interesting failure mode,,
429,35489,EGS,rubies-egs53-nod-v3,None,1.080081414222374,2.581470425932608,0.7198940725515147,2.0496374315734387e-10,,,,,,
430,55498,EGS,rubies-egs63-nod-v3,None,1.0797254997894568,1.8354975461144534,0.7197355648384514,0.29309476897068676,,,,,,
431,13371,UDS,rubies-uds41-nod-v3,None,1.0778634503967943,2.1783097957564888,0.7189053015251423,0.009666365376053867,,,,,,
432,47605,EGS,rubies-egs53-nod-v3,None,1.074363058097283,1.7220242523079303,0.7173400071462452,0.0014434948796404052,,,,,,
433,22615,EGS,rubies-egs51-nod-v3,None,1.0737556771693197,2.216472207137777,0.7170678000826862,1.1315923356999367e-17,,,,,,
434,45081,UDS,rubies-uds3-nod-v3,rubies-uds2-nod-v3,1.0730700639091975,1.7952540147139724,0.716760318631828,7.074956504202776e-119,,,,,,
435,22270,UDS,rubies-uds42-nod-v3,None,1.0721335159401608,1.4411683185425206,0.7163399331538081,0.0,,,,,,
436,40138,EGS,rubies-egs52-nod-v3,None,1.072016192625085,1.9553407942457433,0.7162872408239612,0.02662922377907614,0.0,,,,,
437,29237,EGS,rubies-egs53-nod-v3,None,1.0608392098693373,0.8614109354805117,0.711237020385991,1.67861797485167e-167,0.0,0.0,,,,
438,44206,EGS,rubies-egs52-v4,None,1.0540958876158941,1.8089875951739265,0.7081609812257016,6.99567225505673e-16,,,,,,N
439,39912,UDS,rubies-uds3-v4,None,1.0526813632169498,2.354859106618159,0.7075129470092172,1.7889967858317805e-06,,,,,,
440,53087,EGS,rubies-egs62-v4,None,1.0499813205828306,2.695697796721687,0.7062732990351756,3.6290398323172607e-62,,,,,,
441,129512,UDS,rubies-uds22-nod-v3,None,1.0463817839129226,2.4378349563620976,0.7046152003894361,5.948091084815722e-12,,,,,,
442,167435,UDS,rubies-uds23-nod-v3,None,1.0440802466695118,2.741415330144973,0.7035517358663226,0.002456738837391896,,,,,,
443,28804,UDS,rubies-uds43-nod-v3,None,1.0437773630722325,2.6870203108152895,0.7034115928372703,3.8351596666867736e-14,,,,,,
444,181260,UDS,rubies-uds31-nod-v3,None,1.0417175384228554,5.224445384644706,0.7024573447604199,2.7847329461948184e-10,1.0,,,,,
445,835136,UDS,rubies-uds43-nod-v3,None,1.0303243428020097,3.156203957159016,0.6971422244309586,2.5091343137191386e-255,2.0,1.0,1.0,Narrow line shape?,,
446,23343,EGS,rubies-egs51-nod-v3,None,1.0254028732716376,1.7186776489952074,0.6948268669918632,1.0664375344318823e-25,,,,Absorption?,,N
447,14460,UDS,rubies-uds41-nod-v3,None,1.0205534161591732,1.5969421044880412,0.6925339304844861,4.695764638021555e-15,,,,,,N
448,51013,UDS,rubies-uds3-nod-v3,None,1.0115086970271798,1.8028409899889408,0.6882269793103902,1.2805612363236974e-257,1.0,0.0,,,,
449,146412,UDS,rubies-uds22-nod-v3,None,1.0039597713126327,2.418067231937837,0.6846019955640209,0.18478164453973855,,,,,,
450,54867,EGS,rubies-egs53-v4,None,1.0033877895636882,3.3654533113805427,0.6843262068062937,0.028321686313314717,,,,,,
451,41653,UDS,rubies-uds33-nod-v3,None,0.9987728692108898,1.7115579438772446,0.6820952683133268,3.9771011036137926e-07,,,,,,
452,22469,EGS,rubies-egs52-v4,None,0.9966204645963362,3.3913822292233116,0.681051231271578,0.8031037781005383,,,,,,
453,13262,EGS,rubies-egs51-nod-v3,None,0.9953607157181539,1.6038034786525883,0.6804391422720301,1.1130972457720148e-15,,,,,,
454,48636,EGS,rubies-egs62-nod-v3,rubies-egs63-nod-v3,0.9934955217027667,2.8586414660990553,0.6795314682019834,0.00045412657491526856,1.5,,,I doubt it,,
455,14320,UDS,rubies-uds43-nod-v3,rubies-uds42-nod-v3,0.9909982048743219,1.6475239096361165,0.6783135431772129,1.237339157140146e-46,,,,,,
456,14715,EGS,rubies-egs63-nod-v3,None,0.9906961679736593,1.7229504552170203,0.6781660371892376,3.53775125940857e-57,,,,,,
457,166714,UDS,rubies-uds31-nod-v3,None,0.9892840143447245,1.9873605313083778,0.6774757969775416,0.0017226639676609808,,,,,,
